"","name","id","date","type","year"
"1","A38 ROAD (BRISTOL GLOUCESTER SECTION)","120","10 Apr. 1968","Commons",1968
"2","ABMY ESTIMATES, 1935.","116, 117","21 Mar. 1935","Commons",1935
"3","ABNORMAL IMPORTATIONS (CUSTOMS DUTIES) ACT, 1931.","31, 32","4 Dec. 1931","Commons",1931
"4","ABNORMAL IMPORTATIONS (CUSTOMS DUTIES) ACT, 1931.","46","3 Feb. 1932","Commons",1932
"5","ABNORMAL IMPORTATIONS (CUSTOMS DUTIES) BILL.","7","18 Nov. 1931","Commons",1931
"6","ABNORMAL IMPORTATIONS (CUSTOMS DUTIES).","5, 6","17 Nov. 1931","Commons",1931
"7","ABOLITION OF ASSISTED PLACES SCHEME IN ENGLAND AND WALES","15, 16, 17","5 Jun. 1997","Commons",1997
"8","ABOLITION OF BETTERMENT LEVY AND DISSOLUTION OF LAND COMMISSION","234","9 Mar. 1971","Commons",1971
"9","ABOLITION OF BRITISH TELECOMMUNICATIONS EXCLUSIVE PRIVILEGE ETC.","105","29 Mar. 1983","Commons",1983
"10","ABOLITION OF BRITISH TELECOMMUNICATIONS' EXCLUSIVE PRIVILEGE","101","14 Dec. 1983","Commons",1983
"11","ABOLITION OF CAPPING POWERS","103","5 Mar. 2003","Commons",2003
"12","ABOLITION OF CHARGE TO CAPITAL GAINS TAX ON DEATH, ETC.","369","20 May. 1971","Commons",1971
"13","ABOLITION OF COMMON LAW POWERS WHEN STATUTORY POWERS COME INTO FORCE","297","14 May. 1984","Commons",1984
"14","ABOLITION OF CORPORAL PUNISHMENT IN SCHOOLS ETC.","228","24 Mar. 1998","Commons",1998
"15","ABOLITION OF CORPORAL PUNISHMENT.","153","11 Feb. 1930","Commons",1930
"16","ABOLITION OF CORPORAL PUNISHMENT","274","22 Jul. 1986","Commons",1986
"17","ABOLITION OF DEATH PENALTY","32","17 Dec. 1990","Commons",1990
"18","Abolition of Domestic Rates Etc. (Scotland) Bill","24","9 Dec. 1986","Commons",1986
"19","Abolition of Domestic Rates Etc. (Scotland) Bill","1, 2, 3","30 Mar. 1987","Lords",1987
"20","Abolition of Domestic Rates Etc. (Scotland) Bill","1","2 Apr. 1987","Lords",1987
"21","Abolition of Domestic Rates Etc. (Scotland) Bill","1, 2, 3","7 Apr. 1987","Lords",1987
"22","Abolition of Domestic Rates Etc. (Scotland) Bill","1, 2","9 Apr. 1987","Lords",1987
"23","Abolition of Domestic Rates Etc. (Scotland) Bill","1, 2, 3, 4","28 Apr. 1987","Lords",1987
"24","Abolition of Domestic Rates Etc. (Scotland) Bill","1, 2","30 Apr. 1987","Lords",1987
"25","Abolition of Domestic Rates Etc. (Scotland) Bill","1, 2, 3, 4","5 May. 1987","Lords",1987
"26","Abolition of Domestic Rates Etc. (Scotland) Bill","1, 2, 3","11 May. 1987","Lords",1987
"27","ABOLITION OF EMERGENCY TREATMENT FEE","43","21 Jan. 1999","Commons",1999
"28","ABOLITION OF ESTATE DUTY AND TRANSITIONAL PROVISIONS","135","10 Mar. 1975","Commons",1975
"29","ABOLITION OF EXISTING INFERIOR COURTS AND ESTABLISHMENT OF DISTRICT COURTS.","156","24 Mar. 1975","Commons",1975
"30","ABOLITION OF FORFEITURE","195","13 Mar. 2002","Commons",2002
"31","ABOLITION OF GLC AND METROPOLITAN COUNTY COUNCILS","46, 47, 48, 49, 50","12 Dec. 1984","Commons",1984
"32","ABOLITION OF GLC AND METROPOLITAN COUNTY COUNCILS","51, 52, 53, 54, 55","13 Dec. 1984","Commons",1984
"33","ABOLITION OF GLC AND METROPOLITAN COUNTY COUNCILS","169, 170","27 Mar. 1985","Commons",1985
"34","ABOLITION OF ILEA","233","28 Mar. 1988","Commons",1988
"35","ABOLITION OF INVESTMENT GRANTS","387, 388","22 Jun. 1971","Commons",1971
"36","ABOLITION OF LEVY","1","2 Feb. 2004","Commons",2004
"37","ABOLITION OF LOW RENT TEST FOR HOUSES","146","9 Feb. 1993","Commons",1993
"38","ABOLITION OF NATIONAL INSURANCE SURCHARGE","277","3 May. 1984","Commons",1984
"39","ABOLITION OF OFFICE OF MASTER OF THE POST OFFICE","190","5 May. 1969","Commons",1969
"40","ABOLITION OF PEERAGE BILL","36","11 Jun. 1974","Commons",1974
"41","ABOLITION OF PEERAGE","83","5 Feb. 1975","Commons",1975
"42","Abolition of Political Honours","131","30 Apr. 1991","Commons",1991
"43","ABOLITION OF PRT FOR OIL FIELDS WITH DEVELOPMENT CONSENTS ON OR AFTER 16TH MARCH 1993","262, 263","11 May. 1993","Commons",1993
"44","Abolition of the Commission for Racial Equality","135","4 May. 1982","Commons",1982
"45","ABOLITION OF THE DEATH PENALTY","175","17 Jun. 1991","Commons",1991
"46","ABOLITION OF TIME RESTRICTION IN DIVORCE PROCEEDINGS","364","13 Jun. 1984","Commons",1984
"47","Abolition of Warrant Sales (Scotland)","49","29 Jan. 1991","Commons",1991
"48","Abolition of Welsh County Councils(Creation of Unitary Local Authorities)","156","12 Apr. 1989","Commons",1989
"49","ABORTION (AMENDMENT) BILL (SELECT COMMITTEE)","109, 110","26 Feb. 1975","Commons",1975
"50","ABORTION (AMENDMENT) BILL (SELECT COMMITTEE)","56","9 Feb. 1976","Commons",1976
"51","Abortion (Amendment) Bill [H.L.]","3","6 Dec. 1982","Lords",1982
"52","Abortion (Amendment) Bill [H.L.]","1","14 Dec. 1989","Lords",1989
"53","Abortion (Amendment) Bill [H.L.]","1","21 Feb. 1990","Lords",1990
"54","ABORTION (AMENDMENT) BILL","88, 89","7 Feb. 1975","Commons",1975
"55","ABORTION (AMENDMENT) BILL","80, 81","25 Feb. 1977","Commons",1977
"56","ABORTION (AMENDMENT) BILL","57","13 Jul. 1979","Commons",1979
"57","ABORTION (AMENDMENT) BILL","57","15 Feb. 1980","Commons",1980
"58","Clause 1","185, 186, 187","15 Feb. 1980","Commons",1980
"59","Abortion (Amendment) Bill","150","22 Jan. 1988","Commons",1988
"60","Abortion (Amendment)","327","15 Jul. 1969","Commons",1969
"61","ABORTION ACT 1967","250","21 Jun. 1990","Commons",1990
"62","ABORTION BILL [H.L.]","1","30 Nov. 1965","Lords",1965
"63","ABORTION BILL [H.L.]","1, 2","3 Feb. 1966","Lords",1966
"64","ABORTION BILL [H.L.]","1","22 Feb. 1966","Lords",1966
"65","ABORTION BILL [H.L.]","1, 2","28 Feb. 1966","Lords",1966
"66","ABUSE OF DOMINANT POSITION","331","8 Jul. 1998","Commons",1998
"67","ACADEMIES","310","15 Jul. 2002","Commons",2002
"68","Accelerated Slaughter Programme","212","24 Jul. 1996","Commons",1996
"69","ACCESS FOR DISABLED","117","23 Mar. 1981","Commons",1981
"70","Access To Facilities Of The House","330","28 Oct. 2002","Commons",2002
"71","ACCESS TO FILES","117","21 Dec. 1983","Commons",1983
"72","ACCESS TO INFORMATION","143","6 Apr. 1989","Commons",1989
"73","ACCESS TO INFORMATION; BACKGROUND PAPERS","251","4 Jul. 2000","Commons",2000
"74","Access to Justice Bill [H.L.]","1","28 Jan. 1999","Lords",1999
"75","Access to Justice Bill [H.L.]","1, 2","11 Feb. 1999","Lords",1999
"76","Access to Justice Bill [H.L.]","1","16 Feb. 1999","Lords",1999
"77","Access to Justice Bill [H.L.]","1, 2","16 Mar. 1999","Lords",1999
"78","Access to Justice Bill [H.L.]","3","16 Mar. 1999","Lords",1999
"79","Access to Justice Bill [Lords]","143, 144","14 Apr. 1999","Commons",1999
"80","Access to Justice Bill [Lords]","266, 267","21 Jul. 1999","Commons",1999
"81","ACCESS TO JUSTICE","119","20 Mar. 2000","Commons",2000
"82","ACCESS TO LEGAL ADVICE—","45","21 Jan. 1992","Commons",1992
"83","ACCESS TO MEETINGS ETC. OF REGIONAL DEVELOPMENT AGENCIES","241","1 Apr. 1998","Commons",1998
"84","ACCESS TO MOUNTAINS BILL.","95, 96, 97, 98","15 May. 1908","Commons",1908
"85","ACCESS TO MOUNTAINS BILL.","95, 96, 97, 98","21 Apr. 1939","Commons",1939
"86","CLAUSE 7.—(Offences and enforcement.)","80, 81","21 Apr. 1939","Commons",1939
"87","Access to Personal Files","83","7 Feb. 1989","Commons",1989
"88","Access to the Countryside","38","30 Jan. 1996","Commons",1996
"89","Access","89","6 Mar. 1991","Commons",1991
"90","ACCESSION DECLARATION BILL.","135, 136","27 Jul. 1910","Commons",1910
"91","ACCESSION DECLARATION BILL.","143, 144","28 Jul. 1910","Commons",1910
"92","ACCESSION DECLARATION.","82","28 Jun. 1910","Commons",1910
"93","ACCIDENTS IN MINES.","98","27 Apr. 1927","Commons",1927
"94","ACCOMMODATION FOR STRANGERS.","432","22 Nov. 1906","Commons",1906
"95","ACCOUNTS AND AUDIT","3, 4, 5, 6","8 Nov. 2000","Lords",2000
"96","ACCOUNTS AND FINANCIAL CONSULTATION","321, 322, 323, 324","22 May. 1984","Commons",1984
"97","ACCOUNTS BY SECRETARY OF STATE","57","10 Jan. 1978","Commons",1978
"98","Accounts","281","17 Jul. 1985","Commons",1985
"99","'Accounts","63, 64","30 Jan. 1992","Commons",1992
"100","ACHIEVEMENTS OF THE NATIONAL GOVERNMENT IN EDUCATION.","338","17 Jul. 1934","Commons",1934
"101","ACQUISITION AND APPROPRIATION OF DEVELOPMENT LAND","333","13 Oct. 1975","Commons",1975
"102","ACQUISITION AND CONTROL OF IRISH RAILWAYS.—RESOLUTION.","1","28 Apr. 1874","Commons",1874
"103","ACQUISITION BY BIRTH OR ADOPTION","198","3 Jun. 1981","Commons",1981
"104","ACQUISITION OF BRITISH CITIZENSHIP","233, 234","13 Jun. 1990","Commons",1990
"105","ACQUISITION OF CAPITAL (OLD SINKING FUND).","202","27 Jul. 1914","Commons",1914
"106","ACQUISITION OF LAND (ASSESSMENT OF COMPENSATION) BILL.","202","25 Jun. 1919","Commons",1919
